img_nr,iso,ss,exp,r_avg,g_avg,b_avg
418,100,20861,20766,4732.26,4505.55,4733.05
419,100,20917,20823,4734.41,4506.93,4735.19
420,100,20955,20861,4736.25,4507.93,4737.22
421,100,21012,20917,4736.20,4508.20,4737.30
422,100,21068,20974,4742.33,4511.58,4742.59
423,100,21106,21012,4741.72,4512.07,4743.04
424,100,21163,21068,4745.19,4513.55,4746.06
425,100,21220,21125,4746.09,4514.29,4746.88
426,100,21258,21258,4747.11,4515.06,4747.98
427,100,21314,21258,4747.79,4515.27,4748.09
428,100,21371,21276,4748.38,4515.68,4749.08
429,100,21409,21314,4750.05,4517.29,4750.96
430,100,21465,21371,4752.66,4518.52,4754.04
431,100,21522,21428,4754.61,4519.92,4755.99
432,100,21560,21465,4757.75,4521.69,4758.83
433,100,21617,21522,4758.41,4522.31,4759.84
434,100,21654,21560,4758.32,4522.32,4759.68
435,100,21711,21617,4760.26,4523.41,4761.28
436,100,21768,21673,4763.19,4525.19,4764.73
437,100,21806,21711,4763.57,4525.49,4764.63
438,100,21862,21768,4766.08,4527.20,4767.12
439,100,21919,21825,4767.41,4527.71,4768.64
440,100,21957,21862,4768.52,4528.63,4769.87
441,100,22014,21919,4771.30,4529.95,4772.68
442,100,22070,21976,4771.35,4530.61,4772.62
443,100,22108,22014,4772.96,4531.56,4774.65
444,100,22165,22070,4773.14,4531.53,4774.42
445,100,22222,22127,4774.47,4532.85,4776.11
446,100,22259,22165,4776.32,4533.69,4778.15
447,100,22316,22222,4777.74,4534.59,4779.14
448,100,22354,22259,4778.53,4534.57,4779.91
449,100,22411,22316,4780.94,4536.50,4782.85
450,100,22467,22373,4783.62,4537.98,4785.39
451,100,22505,22411,4785.19,4538.89,4787.51
452,100,22562,22467,4786.67,4539.71,4788.52
453,100,22619,22524,4786.75,4539.99,4788.93
454,100,22656,22562,4788.03,4540.83,4790.22
455,100,22713,22619,4790.63,4542.82,4792.69
456,100,22770,22675,4790.16,4542.33,4791.92
457,100,22808,22713,4791.97,4543.29,4794.17
458,100,22864,22770,4793.37,4544.19,4795.93
459,100,22921,22827,4797.29,4547.05,4800.24
460,100,22959,22864,4799.05,4547.36,4800.42
461,100,23016,22921,4801.66,4549.58,4803.50
462,100,23072,22978,4803.15,4550.32,4805.42
463,100,23110,23016,4802.76,4550.18,4805.32
464,100,23167,23072,4804.40,4551.51,4807.06
465,100,23205,23110,4805.05,4551.72,4806.99
466,100,23261,23167,4807.10,4553.05,4809.54
467,100,23318,23224,4808.29,4554.14,4810.26
468,100,23356,23261,4810.73,4555.46,4813.52
